adapter,level1_affected,level2_affected,any_affected,level0_ub_bits,level1_ub_bits,level2_ub_bits,level0_ub_kib,level1_ub_kib,level2_ub_kib,level1_pass_observed,level2_pass_observed,level1_vector_functions_before,level2_vector_functions_before,all_levels_ub_line_observed,diagnostic
attn_fwd.ttadapter,False,False,False,,,,,,,True,True,0,0,False,"loc(""/home/CI/20260328160451/triton_ascend/test/flaggems_operator_cases/repo/src/flag_gems/ops/attention.py"":152:0): error: Failed to run BiShengHIR pipeline | loc(""/home/CI/20260328160451/triton_ascend/test/flaggems_operator_cases/repo/src/flag_gems/ops/attention.py"":152:0): error: ub overflow, requires 1716224 bits while 1572864 bits available! (possible reason: tiling basic block is too large or block number is more than what user expect due to multi-buffer feature is enabled and some ops need extra local buffer.) | loc(""/home/CI/20260328160451/triton_ascend/test/flaggems_operator_cases/repo/src/flag_gems/ops/attention.py"":152:0): error: Failed to run BiShengHIR pipeline | loc(""/home/CI/20260328160451/triton_ascend/test/flaggems_operator_cases/repo/src/flag_gems/ops/attention.py"":152:0): error: ub overflow, requires 1716224 bits while 1572864 bits available! (possible reason: tiling basic block is too large or block number is more than what user expect due to multi-buffer feature is enabled and some ops need extra local buffer.) | loc(""/home/CI/20260328160451/triton_ascend/test/flaggems_operator_cases/repo/src/flag_gems/ops/attention.py"":152:0): error: Failed to run BiShengHIR p"
chunk_kda_bwd_kernel_wy_dqkg_fused_opt_v2.ttadapter,False,False,False,788480,788480,788480,96.25,96.25,96.25,True,True,0,0,True,
kernels_vllm__triton_rope.ttadapter,False,False,False,47104,47104,47104,5.75,5.75,5.75,True,True,0,0,True,
kernels_vllm_chunk_gated_delta_rule_fwd_kernel_h_blockdim64.ttadapter,False,False,False,1331200,1331200,1331200,162.5,162.5,162.5,True,True,0,0,True,
kernels_vllm_chunk_local_cumsum_scalar_kernel.ttadapter,False,False,False,65536,65536,65536,8.0,8.0,8.0,True,True,0,0,True,
kernels_vllm_chunk_scaled_dot_kkt_fwd_kernel.ttadapter,False,False,False,42240,42240,42240,5.15625,5.15625,5.15625,True,True,0,0,True,
kernels_vllm_expand_kernel.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,
kernels_vllm_fused_gdn_gating_kernel.ttadapter,False,False,False,14080,14080,14080,1.71875,1.71875,1.71875,True,True,0,0,True,
kernels_vllm_fused_qkvzba_split_reshape_cat_kernel.ttadapter,False,False,False,4352,4352,4352,0.53125,0.53125,0.53125,True,True,0,0,True,
kernels_vllm_l2norm_fwd_kernel2_loop.ttadapter,False,False,False,82944,82944,82944,10.125,10.125,10.125,True,True,0,0,True,
kernels_vllm_layer_norm_fwd_kernel.ttadapter,False,False,False,38144,38144,38144,4.65625,4.65625,4.65625,True,True,0,0,True,
kernels_vllm_merge_16x16_to_32x32_inverse_kernel.ttadapter,False,False,False,18432,18432,18432,2.25,2.25,2.25,True,True,0,0,True,
kernels_vllm_merge_16x16_to_64x64_inverse_kernel.ttadapter,False,False,False,221184,221184,221184,27.0,27.0,27.0,True,True,0,0,True,
